type,name,res_id,src,value,fuzzy
error,account.invoice,0,You can not delete invoices that come from a sale!,No puede borrar facturas que provienen de una venta,0
error,account.invoice,0,You cannot reset to draft an invoice generated by a sale.,No puede restablecer a borrador una factura generada por una venta.,0
error,sale.line,0,"It misses an ""account Revenue"" default property!",Falta una propiedad predeterminada de «cuenta de ingresos»,0
error,sale.line,0,"It misses an ""Account Revenue"" on product ""%s""!",Falta una «cuenta de ingresos» en el producto «%s»,0
error,sale.line,0,The customer location is required!,Se necesita la ubicación del cliente,0
error,sale.sale,0,Invoice and Shipment addresses must be defined for the quotation.,Las direcciones de facturación y de envío debe ser definida para el presupuesto.,0
error,sale.sale,0,"It misses an ""Account Receivable"" on the party ""%s""!",Falta una «cuenta de ingresos» en el tercero «%s»,0
error,sale.sale,0,Wrong combination of method!,Combinación inválida de métodos,0
error,stock.shipment.out,0,You cannot reset to draft a move generated by a sale.,No puede restablecer a borrador un movimiento generado por una venta.,0
field,"account.invoice,sale_exception_state",0,Exception State,Estado de excepción,0
field,"product.template,salable",0,Salable,Vendible,0
field,"product.template,sale_uom",0,Sale UOM,UdM de venta,0
field,"sale.handle.invoice.exception.ask,domain_invoices",0,Domain Invoices,Facturas del dominio,0
field,"sale.handle.invoice.exception.ask,recreate_invoices",0,Recreate Invoices,Rehacer facturas,0
field,"sale.handle.shipment.exception.ask,domain_moves",0,Domain Moves,Movimientos de dominio,0
field,"sale.handle.shipment.exception.ask,recreate_moves",0,Recreate Moves,Rehacer movimientos,0
field,"sale.line-account.invoice.line,invoice_line",0,Invoice Line,Línea de factura,0
field,"sale.line-account.invoice.line,rec_name",0,Name,Nombre,0
field,"sale.line-account.invoice.line,sale_line",0,Sale Line,Línea de venta,0
field,"sale.line-account.tax,line",0,Sale Line,Línea de venta,0
field,"sale.line-account.tax,rec_name",0,Name,Nombre,0
field,"sale.line-account.tax,tax",0,Tax,Impuesto,0
field,"sale.line,amount",0,Amount,Cantidad,0
field,"sale.line,description",0,Description,Descripción,0
field,"sale.line-ignored-stock.move,move",0,Move,Movimiento,0
field,"sale.line-ignored-stock.move,rec_name",0,Name,Nombre,0
field,"sale.line-ignored-stock.move,sale_line",0,Sale Line,Línea de venta,0
field,"sale.line,invoice_lines",0,Invoice Lines,Líneas de factura,0
field,"sale.line,move_done",0,Moves Done,Movimientos terminados,0
field,"sale.line,move_exception",0,Moves Exception,Exepción de movimientos,0
field,"sale.line,moves",0,Moves,Movimientos,0
field,"sale.line,moves_ignored",0,Ignored Moves,Movimientos ignorados,0
field,"sale.line,moves_recreated",0,Recreated Moves,Rehacer movimientos,0
field,"sale.line,note",0,Note,Nota,0
field,"sale.line,product",0,Product,Producto,0
field,"sale.line,quantity",0,Quantity,Cantidad,0
field,"sale.line,rec_name",0,Name,Nombre,0
field,"sale.line-recreated-stock.move,move",0,Move,Movimiento,0
field,"sale.line-recreated-stock.move,rec_name",0,Name,Nombre,0
field,"sale.line-recreated-stock.move,sale_line",0,Sale Line,Línea de venta,0
field,"sale.line,sale",0,Sale,Venta,0
field,"sale.line,sequence",0,Sequence,Secuencia,0
field,"sale.line,taxes",0,Taxes,Impuestos,0
field,"sale.line,type",0,Type,Tipo,0
field,"sale.line,unit",0,Unit,Unidad,0
field,"sale.line,unit_digits",0,Unit Digits,Dígitos de la unidad,0
field,"sale.line,unit_price",0,Unit Price,Precio unitario,0
field,"sale.sale-account.invoice,invoice",0,Invoice,Factura,0
field,"sale.sale-account.invoice,rec_name",0,Name,Nombre,0
field,"sale.sale-account.invoice,sale",0,Sale,Venta,0
field,"sale.sale,comment",0,Comment,Comentario,0
field,"sale.sale,company",0,Company,Empresa,0
field,"sale.sale,currency",0,Currency,Divisa,0
