type,name,res_id,src,value,fuzzy
error,account.invoice,0,You can not delete invoices that come from a sale!,No puede borrar la factura proveniente de una venta!,0
error,account.invoice,0,You cannot reset to draft an invoice generated by a sale.,No puede regresar a borrador una factura generada por una venta.,0
error,sale.line,0,"It misses an ""account Revenue"" default property!","¡Hace falta una propiedad predeterminada de ""cuenta de ganancias""!",0
error,sale.line,0,"It misses an ""Account Revenue"" on product ""%s""!","Falta un ""cuenta de ingresos"" para el producto ""%s""!",0
error,sale.line,0,The customer location is required!,Es indispensable el lugar del cliente!,0
error,sale.sale,0,Invoice and Shipment addresses must be defined for the quotation.,Factura y dirección de Envío debe ser definida por el presupuesto.,0
error,sale.sale,0,"It misses an ""Account Receivable"" on the party ""%s""!","Falta una ""cuenta de ingresos"" en la partida ""%s""!",0
error,sale.sale,0,Wrong combination of method!,Combinación o método erróneos!,0
error,stock.shipment.out,0,You cannot reset to draft a move generated by a sale.,No puede regresar a borrador un movimiento generado por una venta.,0
field,"account.invoice,sale_exception_state",0,Exception State,Estado de Excepción,0
field,"product.template,salable",0,Salable,De fácil venta,0
field,"product.template,sale_uom",0,Sale UOM,UdM de Venta,0
field,"sale.handle.invoice.exception.ask,domain_invoices",0,Domain Invoices,Rango de facturas,0
field,"sale.handle.invoice.exception.ask,recreate_invoices",0,Recreate Invoices,Rehacer factura,0
field,"sale.handle.shipment.exception.ask,domain_moves",0,Domain Moves,Rango de movimientos,0
field,"sale.handle.shipment.exception.ask,recreate_moves",0,Recreate Moves,Rehacer movimientos,0
field,"sale.line-account.invoice.line,invoice_line",0,Invoice Line,Línea de Factura,0
field,"sale.line-account.invoice.line,rec_name",0,Name,Nombre,0
field,"sale.line-account.invoice.line,sale_line",0,Sale Line,Línea de Venta,0
field,"sale.line-account.tax,line",0,Sale Line,Línea de Venta,0
field,"sale.line-account.tax,rec_name",0,Name,Nombre,0
field,"sale.line-account.tax,tax",0,Tax,Impuesto,0
field,"sale.line,amount",0,Amount,Cantidad,0
field,"sale.line,description",0,Description,Descripción,0
field,"sale.line-ignored-stock.move,move",0,Move,Movimiento,0
field,"sale.line-ignored-stock.move,rec_name",0,Name,Nombre,0
field,"sale.line-ignored-stock.move,sale_line",0,Sale Line,Línea de Venta,0
field,"sale.line,invoice_lines",0,Invoice Lines,Líneas de Factura,0
field,"sale.line,move_done",0,Moves Done,Movimientos Hechos,0
field,"sale.line,move_exception",0,Moves Exception,Exepción de Movimientos,0
field,"sale.line,moves",0,Moves,Movimientos,0
field,"sale.line,moves_ignored",0,Ignored Moves,Movimientos Ignorados,0
field,"sale.line,moves_recreated",0,Recreated Moves,Rehacer Movimientos,0
field,"sale.line,note",0,Note,Nota,0
field,"sale.line,product",0,Product,Producto,0
field,"sale.line,quantity",0,Quantity,Cantidad,0
field,"sale.line,rec_name",0,Name,Nombre,0
field,"sale.line-recreated-stock.move,move",0,Move,Movimiento,0
field,"sale.line-recreated-stock.move,rec_name",0,Name,Nombre,0
field,"sale.line-recreated-stock.move,sale_line",0,Sale Line,Línea de Venta,0
field,"sale.line,sale",0,Sale,Venta,0
field,"sale.line,sequence",0,Sequence,Secuencia,0
field,"sale.line,taxes",0,Taxes,Impuestos,0
field,"sale.line,type",0,Type,Tipo,0
field,"sale.line,unit",0,Unit,Unidad,0
field,"sale.line,unit_digits",0,Unit Digits,Dígitos de Unidad,0
field,"sale.line,unit_price",0,Unit Price,Precio Unitario,0
field,"sale.sale-account.invoice,invoice",0,Invoice,Factura,0
field,"sale.sale-account.invoice,rec_name",0,Name,Nombre,0
field,"sale.sale-account.invoice,sale",0,Sale,Ventas,0
field,"sale.sale,comment",0,Comment,Comentario,0
field,"sale.sale,company",0,Company,Compañía,0
field,"sale.sale,currency",0,Currency,Moneda,0
field,"sale.sale,currency_digits",0,Currency Digits,Dígitos de Moneda,0
field,"sale.sale,description",0,Description,Descripción,0
field,"sale.sale-ignored-account.invoice,invoice",0,Invoice,Factura,0
field,"sale.sale-ignored-account.invoice,rec_name",0,Name,Nombre,0
field,"sale.sale-ignored-account.invoice,sale",0,Sale,Ventas,0
field,"sale.sale,invoice_address",0,Invoice Address,Dirección de Facturación,0
field,"sale.sale,invoice_exception",0,Invoices Exception,Excepción de Facturación,0
field,"sale.sale,invoice_method",0,Invoice Method,Método de Facturación,0
field,"sale.sale,invoice_paid",0,Invoices Paid,Facturas Pagadas,0
field,"sale.sale,invoices",0,Invoices,Facturas,0
field,"sale.sale,invoices_ignored",0,Ignored Invoices,Facturas Ignoradas,0
field,"sale.sale,invoices_recreated",0,Recreated Invoices,Rehacer facturas,0
field,"sale.sale,invoice_state",0,Invoice State,Estado de Factura,0
field,"sale.sale,lines",0,Lines,Líneas,0
field,"sale.sale,moves",0,Moves,Movimientos,0
field,"sale.sale,shipment_address",0,Shipment Address,Dirección de envío,0
field,"sale.sale,shipment_done",0,Shipment Done,Envío Finalizado,0
field,"sale.sale,shipment_exception",0,Shipments Exception,Excepción de Envíos,0
field,"sale.sale,shipment_method",0,Shipment Method,Método de Envío,0
field,"sale.sale,shipments",0,Shipments,Envíos,0
field,"sale.sale,shipment_state",0,Shipment State,Estado de Envío,0
field,"sale.sale,party",0,Party,Tercero,0
field,"sale.sale,party_lang",0,Party Language,Idioma del Tercero,0
field,"sale.sale,payment_term",0,Payment Term,Término de Pago,0
field,"sale.sale,rec_name",0,Name,Nombre,0
field,"sale.sale-recreated-account.invoice,invoice",0,Invoice,Factura,0
field,"sale.sale-recreated-account.invoice,rec_name",0,Name,Nombre,0
field,"sale.sale-recreated-account.invoice,sale",0,Sale,Ventas,0
field,"sale.sale,reference",0,Reference,Referencia,0
field,"sale.sale,sale_date",0,Sale Date,Fecha de Venta,0
field,"sale.sale,state",0,State,Estado,0
field,"sale.sale,tax_amount",0,Tax,Impuesto,0
field,"sale.sale,total_amount",0,Total,Total,0
field,"sale.sale,untaxed_amount",0,Untaxed,Sin Impuesto,0
field,"sale.sale,warehouse",0,Warehouse,Depósito,0
field,"stock.move,sale",0,Sale,Venta,0
field,"stock.move,sale_exception_state",0,Exception State,Estado Excepción,0
field,"stock.move,sale_line",0,,,0
help,"sale.handle.invoice.exception.ask,recreate_invoices",0,The selected invoices will be recreated. The other ones will be ignored.,La factura seleccionada será recreada. Las otras serán ignoradas.,0
model,"ir.action,name",act_sale_form_confirmed,Confirmed Sales,Ventas Confirmadas,0
model,"ir.action,name",act_sale_form_draft,Draft Sales,Ventas en Borrador,0
model,"ir.action,name",wizard_invoice_handle_exception,Handle Invoice Exception,Tratar Excepción de factura,0
model,"ir.action,name",wizard_shipment_handle_exception,Handle Shipment Exception,Tratar Excepción de Envío,0
model,"ir.action,name",act_invoice_form,Invoices,Facturas,0
model,"ir.action,name",act_sale_form_new,New Sale,Nueva venta,0
model,"ir.action,name",act_open_customer,Parties associated to Sales,Terceros asociados a Ventas,0
model,"ir.action,name",act_sale_form_quotation,Quotation Sales,Ventas Cotizadas,0
model,"ir.action,name",report_sale,Sale,Venta,0
model,"ir.action,name",act_sale_form,Sales,Ventas,0
model,"ir.action,name",act_sale_form2,Sales,Ventas,0
model,"ir.action,name",act_shipment_form,Shipments,Envíos,0
model,"ir.sequence,name",sequence_sale,Sale,Venta,0
model,"ir.sequence.type,name",sequence_type_sale,Sale,Venta,0
model,"ir.ui.menu,name",menu_sale_form_confirmed,Confirmed Sales,Ventas Confirmadas,0
model,"ir.ui.menu,name",menu_sale_form_draft,Draft Sales,Ventas en Borrador,0
model,"ir.ui.menu,name",menu_sale_form_new,New Sale,Nueva venta,0
model,"ir.ui.menu,name",menu_customer,Parties associated to Sales,Terceros asociados a Ventas,0
model,"ir.ui.menu,name",menu_sale_form_quotation,Quotation Sales,Ventas Cotizadas,0
model,"ir.ui.menu,name",menu_sale,Sale Management,Gestión de Ventas,0
model,"ir.ui.menu,name",menu_sale_form,Sales,Ventas,0
model,"res.group,name",group_sale,Sale,Venta,0
model,"sale.handle.invoice.exception.ask,name",0,Invoice Exception Ask,Pregunta de Excepción de Factura,0
model,"sale.handle.shipment.exception.ask,name",0,Shipment Exception Ask,Pregunta de Excepción de Envío,0
model,"sale.line-account.invoice.line,name",0,Sale Line - Invoice Line,Línea de Venta - Línea de Factura,0
model,"sale.line-account.tax,name",0,Sale Line - Tax,Línea de Venta - Impuesto,0
model,"sale.line-ignored-stock.move,name",0,Sale Line - Ignored Move,Línea de Venta - Movimiento Ignorado,0
model,"sale.line,name",0,Sale Line,Línea de Venta,0
model,"sale.line-recreated-stock.move,name",0,Sale Line - Recreated Move,Línea de Venta - Movimiento Recreado,0
model,"sale.sale-account.invoice,name",0,Sale - Invoice,Venta - Factura,0
model,"sale.sale-ignored-account.invoice,name",0,Sale - Ignored Invoice,Venta - Factura Ignorada,0
model,"sale.sale,name",0,Sale,Ventas,0
model,"sale.sale-recreated-account.invoice,name",0,Sale - Recreated Invoice,Venta - Factura Recreada,0
model,"workflow.activity,name",sale_activity_cancel,Canceled,Cancelado,0
model,"workflow.activity,name",sale_activity_confirmed,Confirmed,Confirmado,0
model,"workflow.activity,name",sale_activity_done,Done,Hecho,0
model,"workflow.activity,name",sale_activity_draft,Draft,Borrador,0
model,"workflow.activity,name",sale_activity_invoice_sale_done,Invoice Done,Factura Hecha,0
model,"workflow.activity,name",sale_activity_invoice_sale_exception,Invoice Exception,Excepción de Factura,0
model,"workflow.activity,name",sale_activity_invoice_method,Invoice Method,Método de Facturación,0
model,"workflow.activity,name",sale_activity_invoice_method_done,Invoice Method Done,Método de Factura Concluido,0
model,"workflow.activity,name",sale_activity_invoice_shipment,Invoice Shipment,Envío de Factura,0
model,"workflow.activity,name",sale_activity_invoice_shipment_done,Invoice Shipment Done,Envío de Factura Concluido,0
model,"workflow.activity,name",sale_activity_invoice_shipment_exception,Invoice Shipment Exception,Excepción de Envío de Factura,0
model,"workflow.activity,name",sale_activity_invoice_shipment_method,Invoice Shipment Method,Método de Envío de Factura,0
model,"workflow.activity,name",sale_activity_invoice_shipment_method_done,Invoice Shipment Method Done,Método de Envío de Factura Concluido,0
model,"workflow.activity,name",sale_activity_quotation,Quotation,Cotización,0
model,"workflow.activity,name",sale_activity_shipment,Shipment,Envío,0
