type,name,res_id,src,value,fuzzy
error,account.invoice,0,You can not delete invoices that come from a purchase!,Vous ne pouvez pas supprimer une facture qui provient d'un achat,0
error,account.invoice,0,You cannot reset to draft an invoice generated by a purchase.,Vous ne pouvez pas réinitialiser une facture générée par un achat.,0
error,product.template,0,"Purchase prices are based on the purchase uom, are you sure to change it?","Les prix d'achat sont basé sur l'UDM d'achat, êtes-vous sur de vouloir la modifier ?",0
error,purchase.line,0,"It misses an ""account expense"" default property!","il manque une propriété par défaut ""compte de charge"" !",0
error,purchase.line,0,"It misses an ""Account Expense"" on product ""%s""!","Il manque un compte de charge sur le produit ""%s"" !",0
error,purchase.line,0,The supplier location is required!,L'emplacement fournisseur est requis !,0
error,purchase.purchase,0,Invoice addresses must be defined for the quotation.,L'adresse de facturation doit être définie pour le devis.,0
error,purchase.purchase,0,"It misses an ""Account Payable"" on the party ""%s""!","Il manque un compte à payer sur le tiers ""%s"" !",0
error,stock.shipment.in,0,You cannot reset to draft a move generated by a purchase.,Vous ne pouvez pas réinitialiser un mouvement généré par un achat.,0
field,"account.invoice,purchase_exception_state",0,Exception State,État d'exception,0
field,"product.template,product_suppliers",0,Suppliers,Fournisseurs,0
field,"product.template,purchasable",0,Purchasable,Achetable,0
field,"product.template,purchase_uom",0,Purchase UOM,UDM à l'achat,0
field,"purchase.handle.invoice.exception.ask,domain_invoices",0,Domain Invoices,Domaine des factures,0
field,"purchase.handle.invoice.exception.ask,recreate_invoices",0,Recreate Invoices,Recréer les factures,0
field,"purchase.handle.shipment.exception.ask,domain_moves",0,Domain Moves,Domaine des mouvements,0
field,"purchase.handle.shipment.exception.ask,recreate_moves",0,Recreate Moves,Recréer les mouvements,0
field,"purchase.line-account.invoice.line,invoice_line",0,Invoice Line,Ligne de Facture,0
field,"purchase.line-account.invoice.line,purchase_line",0,Purchase Line,Ligne d'achat,0
field,"purchase.line-account.invoice.line,rec_name",0,Name,Nom,0
field,"purchase.line-account.tax,line",0,Purchase Line,Ligne d'achat,0
field,"purchase.line-account.tax,rec_name",0,Name,Nom,0
field,"purchase.line-account.tax,tax",0,Tax,Taxe,0
field,"purchase.line,amount",0,Amount,Montant,0
field,"purchase.line,description",0,Description,Description,0
field,"purchase.line-ignored-stock.move,move",0,Move,Mouvement,0
field,"purchase.line-ignored-stock.move,purchase_line",0,Purchase Line,Ligne d'achat,0
field,"purchase.line-ignored-stock.move,rec_name",0,Name,Nom,0
field,"purchase.line,invoice_lines",0,Invoice Lines,Lignes de factures,0
field,"purchase.line,move_done",0,Moves Done,Mouvements effectués,0
field,"purchase.line,move_exception",0,Moves Exception,Mouvements en exception,0
field,"purchase.line,moves",0,Moves,Mouvements,0
field,"purchase.line,moves_ignored",0,Ignored Moves,Mouvements ignorés,0
field,"purchase.line,moves_recreated",0,Recreated Moves,Mouvements recréés,0
field,"purchase.line,note",0,Note,Note,0
field,"purchase.line,product",0,Product,Produit,0
field,"purchase.line,purchase",0,Purchase,Achat,0
field,"purchase.line,quantity",0,Quantity,Quantité,0
field,"purchase.line,rec_name",0,Name,Nom,0
field,"purchase.line-recreated-stock.move,move",0,Move,Mouvement,0
field,"purchase.line-recreated-stock.move,purchase_line",0,Purchase Line,Ligne d'achat,0
field,"purchase.line-recreated-stock.move,rec_name",0,Name,Nom,0
field,"purchase.line,sequence",0,Sequence,Séquence,0
field,"purchase.line,taxes",0,Taxes,Taxes,0
field,"purchase.line,type",0,Type,Type,0
field,"purchase.line,unit",0,Unit,Unité,0
field,"purchase.line,unit_digits",0,Unit Digits,Décimales de l'unité,0
field,"purchase.line,unit_price",0,Unit Price,Prix unitaire,0
field,"purchase.product_supplier,code",0,Code,Code,0
field,"purchase.product_supplier,company",0,Company,Société,0
field,"purchase.product_supplier,delivery_time",0,Delivery Time,Temps de livraison,0
field,"purchase.product_supplier,name",0,Name,Nom,0
field,"purchase.product_supplier,party",0,Supplier,Fournisseur,0
field,"purchase.product_supplier.price,product_supplier",0,Supplier,Fournisseur,0
field,"purchase.product_supplier.price,quantity",0,Quantity,Quantité,0
field,"purchase.product_supplier.price,rec_name",0,Name,Nom,0
field,"purchase.product_supplier,prices",0,Prices,Prix,0
field,"purchase.product_supplier.price,unit_price",0,Unit Price,Prix unitaire,0
field,"purchase.product_supplier,product",0,Product,Produit,0
field,"purchase.product_supplier,rec_name",0,Name,Nom,0
field,"purchase.product_supplier,sequence",0,Sequence,Séquence,0
field,"purchase.purchase-account.invoice,invoice",0,Invoice,Facture,0
field,"purchase.purchase-account.invoice,purchase",0,Purchase,Achat,0
field,"purchase.purchase-account.invoice,rec_name",0,Name,Nom,0
field,"purchase.purchase,comment",0,Comment,Commentaire,0
field,"purchase.purchase,company",0,Company,Société,0
field,"purchase.purchase,currency",0,Currency,Devise,0
field,"purchase.purchase,currency_digits",0,Currency Digits,Décimales de la devise,0
field,"purchase.purchase,description",0,Description,Description,0
field,"purchase.purchase-ignored-account.invoice,invoice",0,Invoice,Facture,0
field,"purchase.purchase-ignored-account.invoice,purchase",0,Purchase,Achat,0
field,"purchase.purchase-ignored-account.invoice,rec_name",0,Name,Nom,0
field,"purchase.purchase,invoice_address",0,Invoice Address,Adresse de facturation,0
field,"purchase.purchase,invoice_exception",0,Invoices Exception,Factures en exception,0
field,"purchase.purchase,invoice_method",0,Invoice Method,Méthode de facturation,0
field,"purchase.purchase,invoice_paid",0,Invoices Paid,Factures payées,0
field,"purchase.purchase,invoices",0,Invoices,Factures,0
field,"purchase.purchase,invoices_ignored",0,Ignored Invoices,Factures ignorées,0
field,"purchase.purchase,invoices_recreated",0,Recreated Invoices,Factures recréées,0
field,"purchase.purchase,invoice_state",0,Invoice State,État de la facture,0
field,"purchase.purchase,lines",0,Lines,Lignes,0
field,"purchase.purchase,moves",0,Moves,Mouvements,0
field,"purchase.purchase,party",0,Party,Tiers,0
field,"purchase.purchase,party_lang",0,Party Language,Langue du tiers,0
field,"purchase.purchase,payment_term",0,Payment Term,Conditions de paiement,0
field,"purchase.purchase,purchase_date",0,Purchase Date,Date d'achat,0
field,"purchase.purchase,rec_name",0,Name,Nom,0
field,"purchase.purchase-recreated-account.invoice,invoice",0,Invoice,Facture,0
field,"purchase.purchase-recreated-account.invoice,purchase",0,Purchase,Achat,0
field,"purchase.purchase-recreated-account.invoice,rec_name",0,Name,Nom,0
field,"purchase.purchase,reference",0,Reference,Référence,0
field,"purchase.purchase,shipment_done",0,Shipment Done,Expédition effectuée,0
field,"purchase.purchase,shipment_exception",0,Shipments Exception,Expéditions en exception,0
field,"purchase.purchase,shipments",0,Shipments,Expéditions,0
field,"purchase.purchase,shipment_state",0,Shipment State,État de l'expédition,0
field,"purchase.purchase,state",0,State,État,0
field,"purchase.purchase,supplier_reference",0,Supplier Reference,Référence fournisseur,0
field,"purchase.purchase,tax_amount",0,Tax,Taxe,0
field,"purchase.purchase,total_amount",0,Total,Total,0
field,"purchase.purchase,untaxed_amount",0,Untaxed,Non-taxé,0
field,"purchase.purchase,warehouse",0,Warehouse,Entrepôt,0
field,"stock.move,purchase",0,Purchase,Achat,0
field,"stock.move,purchase_currency",0,Purchase Currency,Devise de l'achat,0
field,"stock.move,purchase_exception_state",0,Exception State,État d'exception,0
field,"stock.move,purchase_line",0,,,0
field,"stock.move,purchase_quantity",0,Purchase Quantity,Quantité d'achat,0
field,"stock.move,purchase_unit",0,Purchase Unit,Unité d'achat,0
field,"stock.move,purchase_unit_digits",0,Purchase Unit Digits,Décimales de l'unité d'achat,0
field,"stock.move,purchase_unit_price",0,Purchase Unit Price,Prix unitaire d'achat,0
field,"stock.move,purchase_visible",0,Purchase Visible,Achat visible,0
field,"stock.move,supplier",0,Supplier,Fournisseur,0
help,"purchase.handle.invoice.exception.ask,recreate_invoices",0,The selected invoices will be recreated. The other ones will be ignored.,Les factures sélectionnées seront recréés. Les autres seront ignorées.,0
help,"purchase.handle.shipment.exception.ask,recreate_moves",0,The selected moves will be recreated. The other ones will be ignored.,Les mouvements sélectionnés seront recréés. Les autres seront ignorés.,0
help,"purchase.product_supplier,delivery_time",0,In number of days,En nombre de jours,0
help,"purchase.product_supplier.price,quantity",0,Minimal quantity,Quantité minimale,0
model,"ir.action,name",act_purchase_form_confirmed,Confirmed Purchases,Achats confirmés,0
model,"ir.action,name",act_purchase_form_draft,Draft Purchases,Achats brouillons,0
model,"ir.action,name",wizard_invoice_handle_exception,Handle Invoice Exception,Gérer l'exception de facture,0
model,"ir.action,name",wizard_shipment_handle_exception,Handle Shipment Exception,Gérer l'exception d'expédition,0
model,"ir.action,name",act_invoice_form,Invoices,Factures,0
model,"ir.action,name",act_purchase_form_new,New Purchase,Nouvel achat,0
model,"ir.action,name",act_open_supplier,Parties associated to Purchases,Tiers associés à des achats,0
model,"ir.action,name",report_purchase,Purchase,Achat,0
model,"ir.action,name",act_purchase_form,Purchases,Achats,0
model,"ir.action,name",act_purchase_form2,Purchases,Achats,0
model,"ir.action,name",act_purchase_form_quotation,Purchases in Quotation,Devis,0
model,"ir.action,name",act_shipment_form,Shipments,Expéditions,0
model,"ir.sequence,name",sequence_purchase,Purchase,Achat,0
model,"ir.sequence.type,name",sequence_type_purchase,Purchase,Achat,0
model,"ir.ui.menu,name",menu_configuration,Configuration,Configuration,0
model,"ir.ui.menu,name",menu_purchase_form_confirmed,Confirmed Purchases,Achats confirmé,0
model,"ir.ui.menu,name",menu_purchase_form_draft,Draft Purchases,Achats brouillons,0
model,"ir.ui.menu,name",menu_purchase_form_new,New Purchase,Nouvel achat,0
model,"ir.ui.menu,name",menu_supplier,Parties associated to Purchases,Tiers associés à des achats,0
model,"ir.ui.menu,name",menu_purchase,Purchase Management,Gestion des achats,0
model,"ir.ui.menu,name",menu_purchase_form,Purchases,Achats,0
model,"ir.ui.menu,name",menu_purchase_form_quotation,Purchases in Quotation,Devis,0
model,"ir.ui.menu,name",menu_reporting,Reporting,Rapport,0
model,"purchase.handle.invoice.exception.ask,name",0,Invoice Exception Ask,Exception de facture - Demande,0
model,"purchase.handle.shipment.exception.ask,name",0,Shipment Exception Ask,Exception d'expédition - Demande,0
model,"purchase.line-account.invoice.line,name",0,Purchase Line - Invoice Line,Ligne d'achat - Ligne de facture,0
model,"purchase.line-account.tax,name",0,Purchase Line - Tax,Ligne d'achat - Taxe,0
model,"purchase.line-ignored-stock.move,name",0,Purchase Line - Ignored Move,Ligne d'achat - Mouvement ignoré,0
model,"purchase.line,name",0,Purchase Line,Ligne d'achat,0
model,"purchase.line-recreated-stock.move,name",0,Purchase Line - Ignored Move,Ligne d'achat - Mouvement ignoré,0
model,"purchase.product_supplier,name",0,Product Supplier,Produit Fournisseur,0
model,"purchase.product_supplier.price,name",0,Product Supplier Price,Produit Prix Fournisseur,0
model,"purchase.purchase-account.invoice,name",0,Purchase - Invoice,Achat - Facture,0
model,"purchase.purchase-ignored-account.invoice,name",0,Purchase - Ignored Invoice,Achat - Facture ignorée,0
model,"purchase.purchase,name",0,Purchase,Achat,0
model,"purchase.purchase-recreated-account.invoice,name",0,Purchase - Recreated Invoice,Achat - Facture recréée,0
model,"res.group,name",group_purchase,Purchase,Achat,0
model,"res.group,name",group_purchase_admin,Purchase Administrator,Administrateur d'achat,0
