type,name,res_id,src,value,fuzzy
error,account.invoice,0,You can not delete invoices that come from a purchase!,Не може да изтривате фактури които идват от покупка!,0
error,account.invoice,0,You cannot reset to draft an invoice generated by a purchase.,Не може да прехвърляте в проект фактура генерирана при покупка.,0
error,product.template,0,"Purchase prices are based on the purchase uom, are you sure to change it?","Покупните цени се основават мер, ед, на покупката, сигурни ли сте че искате да я смените?",0
error,purchase.line,0,"It misses an ""Account Expense"" on product ""%s""!","Не е зададена ""Сметка за разходи"" за продукт ""%s""!",0
error,purchase.line,0,"It misses an ""account expense"" default property!","Няма е зададено свойство по подразбиране ""Сметка за разходи""!",0
error,purchase.line,0,The supplier location is required!,Местонахождението на доставчика е задължително!,0
error,purchase.purchase,0,Invoice addresses must be defined for the quotation.,За запитването трябва да бъдат зададени адреси за фактуриране .,0
error,purchase.purchase,0,"It misses an ""Account Payable"" on the party ""%s""!","Липсва ""Разходна сметка"" за партньор ""%s""!",0
error,stock.shipment.in,0,You cannot reset to draft a move generated by a purchase.,Не може да преместите в проект движение създадено от покупка.,0
field,"account.invoice,purchase_exception_state",0,Exception State,Състояние на грешка,0
field,"account.invoice,purchases",0,Purchases,Покупки,0
field,"account.invoice.line,purchase_lines",0,Purchase Lines,Редове от покупка,0
field,"product.template,product_suppliers",0,Suppliers,Доставчици,0
field,"product.template,purchasable",0,Purchasable,Купуваем,0
field,"product.template,purchase_uom",0,Purchase UOM,Мер. ед. на покупка,0
field,"purchase.configuration,purchase_invoice_method",0,Invoice Method,Начин на фактуриране,0
field,"purchase.configuration,purchase_sequence",0,Purchase Reference Sequence,Последователност за отпратка на покупка,0
field,"purchase.configuration,rec_name",0,Name,Име,0
field,"purchase.handle.invoice.exception.ask,domain_invoices",0,Domain Invoices,Фактури на домейн,0
field,"purchase.handle.invoice.exception.ask,recreate_invoices",0,Recreate Invoices,Наново създаване на фактури,0
field,"purchase.handle.shipment.exception.ask,domain_moves",0,Domain Moves,Движение на домейн,0
field,"purchase.handle.shipment.exception.ask,recreate_moves",0,Recreate Moves,Наново създаване на движения,0
field,"purchase.line,amount",0,Amount,Сума,0
field,"purchase.line,description",0,Description,Описание,0
field,"purchase.line,invoice_lines",0,Invoice Lines,Редове от фактура,0
field,"purchase.line,move_done",0,Moves Done,Направени движения,0
