type,name,res_id,src,value,fuzzy
error,account.invoice,0,You can not delete invoices that come from a purchase!,Durch einen Einkauf generierte Rechnungen können nicht gelöscht werden!,0
error,account.invoice,0,You cannot reset to draft an invoice generated by a purchase.,Eine durch einen Einkauf generierte Bewegung kann nicht auf Entwurf zurückgesetzt werden.,0
error,product.template,0,"Purchase prices are based on the purchase uom, are you sure to change it?","Einkaufspreise basieren auf der Maßeinheit für den Einkauf.
Soll sie wirklich geändert werden?",0
error,purchase.line,0,"It misses an ""Account Expense"" on product ""%s""!","Es ist ken Aufwandskonto für Artikel ""%s"" definiert!",0
error,purchase.line,0,"It misses an ""account expense"" default property!",Es ist keine Standardeigenschaft für das Aufwandskonto definiert!,0
error,purchase.line,0,The supplier location is required!,Der Lagerort des Lieferanten muss eingegeben werden!,0
error,purchase.purchase,0,Invoice addresses must be defined for the quotation.,Die Rechnungsadresse muss für ein Angebot angegeben werden.,0
error,purchase.purchase,0,"It misses an ""Account Payable"" on the party ""%s""!","Es ist kein Verbindlichkeitskonto für Partei ""%s"" definiert!",0
error,stock.shipment.in,0,You cannot reset to draft a move generated by a purchase.,Eine durch einen Einkauf generierte Bewegung kann nicht auf Entwurf zurückgesetzt werden.,0
field,"account.invoice,purchase_exception_state",0,Exception State,Status Vorbehalt,0
field,"product.template,product_suppliers",0,Suppliers,Lieferanten,0
field,"product.template,purchasable",0,Purchasable,Käuflich,0
field,"product.template,purchase_uom",0,Purchase UOM,Einheit Einkauf,0
field,"purchase.configuration,purchase_sequence",0,Purchase Reference Sequence,Nummernkreis Einkauf,0
field,"purchase.configuration,rec_name",0,Name,Name,0
field,"purchase.handle.invoice.exception.ask,domain_invoices",0,Domain Invoices,Wertebereich Rechnungen (Domain),0
field,"purchase.handle.invoice.exception.ask,recreate_invoices",0,Recreate Invoices,Rechnungen nachbilden,0
field,"purchase.handle.shipment.exception.ask,domain_moves",0,Domain Moves,Wertebereich Bewegungen (Domain),0
field,"purchase.handle.shipment.exception.ask,recreate_moves",0,Recreate Moves,Bewegungen nachbilden,0
field,"purchase.line,amount",0,Amount,Betrag,0
field,"purchase.line,description",0,Description,Bezeichnung,0
field,"purchase.line,invoice_lines",0,Invoice Lines,Rechnungspositionen,0
field,"purchase.line,move_done",0,Moves Done,Bewegungen erledigt,0
