type,name,res_id,src,value,fuzzy
error,account.invoice,0,You can not delete invoices that come from a purchase!,¡No puede borrar facturas que vienen de una compra!,0
error,account.invoice,0,You cannot reset to draft an invoice generated by a purchase.,No puede regresar a borrador una factura generada por una compra.,0
error,product.template,0,"Purchase prices are based on the purchase uom, are you sure to change it?","Los precios de compra están basados en la UdM de compra,¿desea cambiarlo?",0
error,purchase.line,0,"It misses an ""account expense"" default property!","¡Hace falta una propiedad predeterminada de ""cuenta de gastos""!",0
error,purchase.line,0,"It misses an ""Account Expense"" on product ""%s""!","¡Hace falta una ""Cuenta de Gasto"" del producto ""%s""!",0
error,purchase.line,0,The supplier location is required!,¡Se requiere el lugar del proveedor!,0
error,purchase.purchase,0,Invoice addresses must be defined for the quotation.,Debe definir las direcciones para la cotización.,0
error,purchase.purchase,0,"It misses an ""Account Payable"" on the party ""%s""!","¡Al tercero le hace falta una ""Cuenta de Pagos""!",0
error,stock.shipment.in,0,You cannot reset to draft a move generated by a purchase.,No puede revertir a borrador un movimiento generado por una compra.,0
field,"account.invoice,purchase_exception_state",0,Exception State,Estado Excepción,0
field,"product.template,product_suppliers",0,Suppliers,Proveedores,0
field,"product.template,purchasable",0,Purchasable,Comprable,0
field,"product.template,purchase_uom",0,Purchase UOM,UdM de Compra,0
field,"purchase.configuration,purchase_sequence",0,Purchase Reference Sequence,,0
field,"purchase.configuration,rec_name",0,Name,Nombre de Contacto,1
field,"purchase.handle.invoice.exception.ask,domain_invoices",0,Domain Invoices,Rango de facturas,0
field,"purchase.handle.invoice.exception.ask,recreate_invoices",0,Recreate Invoices,Rehacer facturas,0
field,"purchase.handle.shipment.exception.ask,domain_moves",0,Domain Moves,Rango de movimientos,0
field,"purchase.handle.shipment.exception.ask,recreate_moves",0,Recreate Moves,Rehacer movimientos,0
field,"purchase.line-account.invoice.line,invoice_line",0,Invoice Line,Línea de Factura,0
field,"purchase.line-account.invoice.line,purchase_line",0,Purchase Line,Línea de Compra,0
field,"purchase.line-account.invoice.line,rec_name",0,Name,Nombre,0
field,"purchase.line-account.tax,line",0,Purchase Line,Línea de Compra,0
field,"purchase.line-account.tax,rec_name",0,Name,Nombre,0
field,"purchase.line-account.tax,tax",0,Tax,Impuesto,0
field,"purchase.line,amount",0,Amount,Cantidad,0
field,"purchase.line,description",0,Description,Descripción,0
field,"purchase.line-ignored-stock.move,move",0,Move,Movimiento,0
field,"purchase.line-ignored-stock.move,purchase_line",0,Purchase Line,Línea de Compra,0
field,"purchase.line-ignored-stock.move,rec_name",0,Name,Nombre,0
field,"purchase.line,invoice_lines",0,Invoice Lines,Líneas de Factura,0
field,"purchase.line,move_done",0,Moves Done,Movimientos Hechos,0
field,"purchase.line,move_exception",0,Moves Exception,Exepción de Movimientos,0
field,"purchase.line,moves",0,Moves,Movimientos,0
field,"purchase.line,moves_ignored",0,Ignored Moves,Movimientos Ignorados,0
field,"purchase.line,moves_recreated",0,Recreated Moves,Movimientos recreados,0
field,"purchase.line,note",0,Note,Nota,0
field,"purchase.line,product",0,Product,Producto,0
field,"purchase.line,purchase",0,Purchase,Compra,0
field,"purchase.line,quantity",0,Quantity,Cantidad,0
field,"purchase.line,rec_name",0,Name,Nombre,0
field,"purchase.line-recreated-stock.move,move",0,Move,Movimiento,0
field,"purchase.line-recreated-stock.move,purchase_line",0,Purchase Line,Línea de Compra,0
field,"purchase.line-recreated-stock.move,rec_name",0,Name,Nombre,0
field,"purchase.line,sequence",0,Sequence,Secuencia,0
field,"purchase.line,taxes",0,Taxes,Impuestos,0
field,"purchase.line,type",0,Type,Tipo,0
field,"purchase.line,unit",0,Unit,Unidad,0
field,"purchase.line,unit_digits",0,Unit Digits,Dígitos Unitarios,0
field,"purchase.line,unit_price",0,Unit Price,Precio Unitario,0
field,"purchase.product_supplier,code",0,Code,Código,0
field,"purchase.product_supplier,company",0,Company,Compañía,0
field,"purchase.product_supplier,delivery_time",0,Delivery Time,Tiempo de Envío,0
field,"purchase.product_supplier,name",0,Name,Nombre,0
field,"purchase.product_supplier,party",0,Supplier,Proveedor,0
field,"purchase.product_supplier.price,product_supplier",0,Supplier,Proveedor,0
field,"purchase.product_supplier.price,quantity",0,Quantity,Cantidad,0
