type,name,res_id,src,value,fuzzy
error,account.invoice,0,You can not delete invoices that come from a sale!,Durch einen Verkauf generierte Rechnungen können nicht gelöscht werden!,0
error,account.invoice,0,You cannot reset to draft an invoice generated by a sale.,Eine durch einen Verkauf generierte Rechnung kann nicht auf Entwurf zurückgesetzt werden.,0
error,sale.line,0,"It misses an ""account Revenue"" default property!",Es ist keine Standardeigenschaft für das Ertragsskonto definiert!,0
error,sale.line,0,"It misses an ""Account Revenue"" on product ""%s""!","Es ist kein Ertragskonto für Artikel ""%s"" definiert!",0
error,sale.line,0,The customer location is required!,Der Lagerort des Kunden muss eingegeben werden!,0
error,sale.sale,0,Invoice and Shipment addresses must be defined for the quotation.,Rechnungs- und Lieferadresse müssen für das Angebot eingetragen sein!,0
error,sale.sale,0,"It misses an ""Account Receivable"" on the party ""%s""!","Es ist kein Forderungskonto für Partei ""%s"" definiert!",0
error,sale.sale,0,Wrong combination of method!,Ungültige Kombination von Methoden!,0
error,stock.shipment.out,0,You cannot reset to draft a move generated by a sale.,Eine durch einen Verkauf generierte Bewegung kann nicht auf Entwurf zurückgesetzt werden.,0
field,"account.invoice,sale_exception_state",0,Exception State,Vorbehalt Status,0
field,"product.template,salable",0,Salable,Verkäuflich,0
field,"product.template,sale_uom",0,Sale UOM,Einheit Verkauf,0
field,"sale.configuration,rec_name",0,Name,Name,0
field,"sale.configuration,sale_sequence",0,Sale Reference Sequence,Nummernkreis Verkauf,0
field,"sale.handle.invoice.exception.ask,domain_invoices",0,Domain Invoices,Wertebereich Rechnungen (Domain),0
field,"sale.handle.invoice.exception.ask,recreate_invoices",0,Recreate Invoices,Rechnungen nachbilden,0
field,"sale.handle.shipment.exception.ask,domain_moves",0,Domain Moves,Wertebereich Bewegungen (Domain),0
field,"sale.handle.shipment.exception.ask,recreate_moves",0,Recreate Moves,Bewegungen nachbilden,0
field,"sale.line-account.invoice.line,invoice_line",0,Invoice Line,Rechnungsposition,0
field,"sale.line-account.invoice.line,rec_name",0,Name,Name,0
field,"sale.line-account.invoice.line,sale_line",0,Sale Line,Position Verkauf,0
field,"sale.line-account.tax,line",0,Sale Line,Position Verkauf,0
field,"sale.line-account.tax,rec_name",0,Name,Name,0
field,"sale.line-account.tax,tax",0,Tax,Steuer,0
field,"sale.line,amount",0,Amount,Betrag,0
field,"sale.line,description",0,Description,Bezeichnung,0
field,"sale.line-ignored-stock.move,move",0,Move,Bewegung,0
field,"sale.line-ignored-stock.move,rec_name",0,Name,Name,0
field,"sale.line-ignored-stock.move,sale_line",0,Sale Line,Position Verkauf,0
field,"sale.line,invoice_lines",0,Invoice Lines,Rechnungspositionen,0
field,"sale.line,move_done",0,Moves Done,Bewegungen erledigt,0
field,"sale.line,move_exception",0,Moves Exception,Bewegungsvorbehalt,0
field,"sale.line,moves",0,Moves,Bewegungen,0
field,"sale.line,moves_ignored",0,Ignored Moves,Ignorierte Bewegungen,0
field,"sale.line,moves_recreated",0,Recreated Moves,Nachgebildete Bewegungen,0
field,"sale.line,note",0,Note,Notiz,0
field,"sale.line,product",0,Product,Artikel,0
field,"sale.line,quantity",0,Quantity,Anzahl,0
field,"sale.line,rec_name",0,Name,Name,0
field,"sale.line-recreated-stock.move,move",0,Move,Bewegung,0
field,"sale.line-recreated-stock.move,rec_name",0,Name,Name,0
field,"sale.line-recreated-stock.move,sale_line",0,Sale Line,Position Verkauf,0
field,"sale.line,sale",0,Sale,Verkauf,0
field,"sale.line,sequence",0,Sequence,Reihenfolge,0
field,"sale.line,taxes",0,Taxes,Steuern,0
field,"sale.line,type",0,Type,Typ,0
field,"sale.line,unit",0,Unit,Einheit,0
field,"sale.line,unit_digits",0,Unit Digits,Anzahl Stellen,0
field,"sale.line,unit_price",0,Unit Price,Einzelpreis,0
field,"sale.sale-account.invoice,invoice",0,Invoice,Rechnung,0
field,"sale.sale-account.invoice,rec_name",0,Name,Name,0
field,"sale.sale-account.invoice,sale",0,Sale,Verkauf,0
field,"sale.sale,comment",0,Comment,Kommentar,0
